Name,ID,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click
Akan,akan1250,4,0,9,0,0,15,17,16,3,13,0,1,4,1,11,7,1,7,7,0,1,15,10,1,5,5,6,0,0,20,0,1,0,0,0,0,0
Akan,akan1250,0,0,14,0,0,18,21,21,8,17,0,1,9,0,15,11,1,12,5,7,1,25,19,2,15,6,8,0,0,26,0,4,0,0,0,0,0
Akan,akan1250,3,0,18,0,2,19,21,24,9,19,0,2,7,0,17,13,1,12,6,6,1,26,19,2,14,7,9,0,0,26,0,7,0,0,0,0,0
Akan,akan1250,2,0,30,0,10,25,40,44,12,34,0,1,16,1,26,22,1,17,15,8,10,45,27,6,25,13,14,0,0,46,0,1,0,0,0,0,0
Akaselem,akas1242,3,0,29,0,9,18,37,34,2,32,0,0,15,1,20,13,1,8,5,3,1,40,23,5,18,13,14,0,0,42,0,0,0,0,0,0,0
Akawaio,akaw1239,0,0,11,0,4,8,16,15,1,14,1,0,2,0,6,4,0,4,4,0,1,14,7,2,5,6,11,0,0,16,0,0,1,0,0,0,0
Akawaio,akaw1239,0,0,10,0,0,11,15,15,2,13,0,0,2,0,8,5,0,6,6,0,2,14,10,3,5,5,8,0,0,19,0,0,0,0,0,0,0
Akha,akha1245,3,0,13,0,0,26,19,20,12,15,0,0,7,1,10,6,0,15,10,5,7,23,14,2,8,6,8,0,0,26,0,7,1,0,0,0,0
Akha,akha1245,0,0,24,0,0,32,30,33,12,24,0,0,7,0,19,10,0,16,15,1,8,41,26,3,21,8,15,0,0,38,0,22,11,0,0,0,0
Aklanon,akla1241,0,0,3,0,0,14,10,10,3,7,0,1,3,1,5,2,0,6,6,0,1,9,8,1,2,2,4,0,0,14,0,1,1,0,0,0,0
Akoose,akoo1248,4,0,18,0,10,19,29,24,5,21,0,0,8,1,12,8,0,10,7,3,4,25,11,3,8,9,11,0,0,33,0,1,1,0,0,0,0
Akoose,akoo1248,2,0,12,0,4,15,18,18,3,15,0,0,3,1,9,6,0,9,6,3,2,19,10,2,9,6,8,0,0,23,0,1,1,0,0,0,0
Akpes,akpe1248,3,0,10,0,0,18,17,19,7,14,0,1,6,1,10,5,1,9,8,1,4,18,10,2,5,5,6,0,0,22,0,1,0,0,0,0,0
